"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","12/04/1987","Alain Prost","McLaren-TAG","61","1:39'45.141"
"San Marino","03/05/1987","Nigel Mansell","Williams-Honda","59","1:31'24.076"
"Belgium","17/05/1987","Alain Prost","McLaren-TAG","43","1:27'03.217"
"Monaco","31/05/1987","Ayrton Senna","Lotus-Honda","78","1:57'54.085"
"United States","21/06/1987","Ayrton Senna","Lotus-Honda","63","1:50'16.358"
"France","05/07/1987","Nigel Mansell","Williams-Honda","80","1;37'03.839"
"Great Britain","12/07/1987","Nigel Mansell","Williams-Honda","65","1:19'11.780"
"Germany","26/07/1987","Nelson Piquet","Williams-Honda","44","1:21'25.091"
"Hungary","09/08/1987","Nelson Piquet","Williams-Honda","76","1:59'26.793"
"Austria","16/08/1987","Nigel Mansell","Williams-Honda","52","1:18'44.898"
"Italy","06/09/1987","Nelson Piquet","Williams-Honda","50","1:14'47.707"
"Portugal","20/09/1987","Alain Prost","McLaren-TAG","70","1:37'03.906"
"Spain","27/09/1987","Nigel Mansell","Williams-Honda","72","1:49'12.692"
"Mexico","18/10/1987","Nigel Mansell","Williams-Honda","63","1:26'24.207"
"Japan","01/11/1987","Gerhard Berger","Ferrari","51","1:32'58.072"
"Australia","15/11/1987","Gerhard Berger","Ferrari","82","1:52'56.144"
