"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Argentina","23/01/1972","Jackie Stewart","Tyrrell-Ford","95","1:57'58.82"
"South Africa","04/03/1972","Denny Hulme","McLaren-Ford","79","1:45'49.1"
"Spain","01/05/1972","Emerson Fittipaldi","Lotus-Ford","90","2:03'41.23"
"Monaco","14/05/1972","Jean Pierre  Beltoise","BRM","80","2:26'54.7"
"Belgium","04/06/1972","Emerson Fittipaldi","Lotus-Ford","85","1:44'06.7"
"France","02/07/1972","Jackie Stewart","Tyrrell-Ford","38","1:52'21.5"
"Great Britain","15/07/1972","Emerson Fittipaldi","Lotus-Ford","76","1:47'50.2"
"Germany","30/07/1972","Jacky Ickx","Ferrari","14","1:42'12.3"
"Austria","13/08/1972","Emerson Fittipaldi","Lotus-Ford","54","1:29'16.66"
"Italy","10/09/1972","Emerson Fittipaldi","Lotus-Ford","55","1:29'58.4"
"Canada","24/09/1972","Jackie Stewart","Tyrrell-Ford","80","1:43'16.9"
"United States","08/10/1972","Jackie Stewart","Tyrrell-Ford","59","1:41'45.354"
