"Pos","Driver","Nationality","Team","Points"
"1","Jenson Button","British","Brawn-Mercedes","95"
"2","Sebastian Vettel","German","RBR-Renault","84"
"3","Rubens Barrichello","Brazilian","Brawn-Mercedes","77"
"4","Mark Webber","Australian","RBR-Renault","69.5"
"5","Lewis Hamilton","British","McLaren-Mercedes","49"
"6","Kimi Räikkönen","Finnish","Ferrari","48"
"7","Nico Rosberg","German","Williams-Toyota","34.5"
"8","Jarno Trulli","Italian","Toyota","32.5"
"9","Fernando Alonso","Spanish","Renault","26"
"10","Timo Glock","German","Toyota","24"
"11","Felipe Massa","Brazilian","Ferrari","22"
"12","Heikki Kovalainen","Finnish","McLaren-Mercedes","22"
"13","Nick Heidfeld","German","BMW Sauber","19"
"14","Robert Kubica","Polish","BMW Sauber","17"
"15","Giancarlo Fisichella","Italian","Ferrari","8"
"16","Sebastien Buemi","Swiss","STR-Ferrari","6"
"17","Adrian Sutil","German","Force India-Mercedes","5"
"18","Kamui Kobayashi","Japanese","Toyota","3"
"19","Sebastien Bourdais","French","STR-Ferrari","2"
"20","Kazuki Nakajima","Japanese","Williams-Toyota","0"
"21","Nelsinho Piquet","Brazilian","Renault","0"
"22","Vitantonio Liuzzi","Italian","Force India-Mercedes","0"
"23","Romain Grosjean","French","Renault","0"
"24","Jaime Alguersuari","Spanish","STR-Ferrari","0"
"25","Luca Badoer","Italian","Ferrari","0"
