"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","27/03/1994","Michael Schumacher","Benetton-Ford","71","1:35'38.759"
"Pacific","17/04/1994","Michael Schumacher","Benetton-Ford","83","1:46'01.693"
"San Marino","01/05/1994","Michael Schumacher","Benetton-Ford","58","1:28'28.642"
"Monaco","15/05/1994","Michael Schumacher","Benetton-Ford","78","1:49'55.372"
"Spain","29/05/1994","Damon Hill","Williams-Renault","65","1:36'14.374"
"Canada","12/06/1994","Michael Schumacher","Benetton-Ford","69","1:44'31.887"
"France","03/07/1994","Michael Schumacher","Benetton-Ford","72","1:38'35.704"
"Great Britain","10/07/1994","Damon Hill","Williams-Renault","60","1:30'03.640"
"Germany","31/07/1994","Gerhard Berger","Ferrari","45","1:22'37.272"
"Hungary","14/08/1994","Michael Schumacher","Benetton-Ford","77","1:48'00.185"
"Belgium","28/08/1994","Damon Hill","Williams-Renault","44","1:28'47.170"
"Italy","11/09/1994","Damon Hill","Williams-Renault","53","1:18'02.754"
"Portugal","25/09/1994","Damon Hill","Williams-Renault","71","1:45'10.165"
"Europe","16/10/1994","Michael Schumacher","Benetton-Ford","69","1:40'26.689"
"Japan","06/11/1994","Damon Hill","Williams-Renault","50","1:55'53.532"
"Australia","13/11/1994","Nigel Mansell","Williams-Renault","81","1:47'51.480"
