"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","25/03/1984","Alain Prost","McLaren-TAG","61","1:42'34.492"
"South Africa","07/04/1984","Niki Lauda","McLaren-TAG","75","1:29'23.430"
"Belgium","29/04/1984","Michele Alboreto","Ferrari","70","1:36'32.048"
"San Marino","06/05/1984","Alain Prost","McLaren-TAG","60","1:36'53.679"
"France","20/05/1984","Niki Lauda","McLaren-TAG","79","1:31'11.951"
"Monaco","03/06/1984","Alain Prost","McLaren-TAG","31","1:01'07.740"
"Canada","17/06/1984","Nelson Piquet","Brabham-BMW","70","1:46'23.748"
"USA East","24/06/1984","Nelson Piquet","Brabham-BMW","63","1:55'41.842"
"United States","08/07/1984","Keke Rosberg","Williams-Honda","67","2:01'22.617"
"Great Britain","22/07/1984","Niki Lauda","McLaren-TAG","71","1:29'28.532"
"Germany","05/08/1984","Alain Prost","McLaren-TAG","44","1:24'43.210"
"Austria","19/08/1984","Niki Lauda","McLaren-TAG","51","1:21'12.851"
"Netherlands","26/08/1984","Alain Prost","McLaren-TAG","71","1:37'21.468"
"Italy","09/09/1984","Niki Lauda","McLaren-TAG","51","1:20'29.065"
"Europe","07/10/1984","Alain Prost","McLaren-TAG","67","1:35'13.284"
"Portugal","21/10/1984","Alain Prost","McLaren-TAG","70","1:41'11.753"
