"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","07/04/1985","Alain Prost","McLaren-TAG","61","1:41'26.115"
"Portugal","21/04/1985","Ayrton Senna","Lotus-Renault","67","2:00'28.006"
"San Marino","05/05/1985","Elio de Angelis","Lotus-Renault","60","1:34'35.955"
"Monaco","19/05/1985","Alain Prost","McLaren-TAG","78","1:51'58.034"
"Canada","16/06/1985","Michele Alboreto","Ferrari","70","1:46'01.813"
"USA East","23/06/1985","Keke Rosberg","Williams-Honda","63","1:55'39.851"
"France","07/07/1985","Nelson Piquet","Brabham-BMW","53","1:31'46.266"
"Great Britain","21/07/1985","Alain Prost","McLaren-TAG","65","1:18'10.436"
"Germany","04/08/1985","Michele Alboreto","Ferrari","67","1:35'31.337"
"Austria","18/08/1985","Alain Prost","McLaren-TAG","52","1:20'12.583"
"Netherlands","25/08/1985","Niki Lauda","McLaren-TAG","70","1:32'29.263"
"Italy","08/09/1985","Alain Prost","McLaren-TAG","51","1:17'59.451"
"Belgium","15/09/1985","Ayrton Senna","Lotus-Renault","43","1:34'19.893"
"Europe","06/10/1985","Nigel Mansell","Williams-Honda","75","1:32'58.109"
"South Africa","19/10/1985","Nigel Mansell","Williams-Honda","75","1:28'22.866"
"Australia","03/11/1985","Keke Rosberg","Williams-Honda","82","2:00'40.473"
