"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","12/03/2000","Michael Schumacher","Ferrari","58","1:34'01.987"
"Brazil","26/03/2000","Michael Schumacher","Ferrari","71","1:31'35.271"
"San Marino","09/04/2000","Michael Schumacher","Ferrari","62","1:31'39.776"
"Great Britain","23/04/2000","David Coulthard","McLaren-Mercedes","60","1:28'50.108"
"Spain","07/05/2000","Mika Hakkinen","McLaren-Mercedes","65","1:33'55.390"
"Europe","21/05/2000","Michael Schumacher","Ferrari","67","1:42'00.307"
"Monaco","04/06/2000","David Coulthard","McLaren-Mercedes","78","1:49'28.213"
"Canada","18/06/2000","Michael Schumacher","Ferrari","69","1:41'12.313"
"France","02/07/2000","David Coulthard","McLaren-Mercedes","72","1:38'05.538"
"Austria","16/07/2000","Mika Hakkinen","McLaren-Mercedes","71","1:28'15.818"
"Germany","30/07/2000","Rubens Barrichello","Ferrari","45","1:25'34.418"
"Hungary","13/08/2000","Mika Hakkinen","McLaren-Mercedes","77","1:45'33.869"
"Belgium","27/08/2000","Mika Hakkinen","McLaren-Mercedes","44","1:28'14.494"
"Italy","10/09/2000","Michael Schumacher","Ferrari","53","1:27'31.638"
"United States","24/09/2000","Michael Schumacher","Ferrari","73","1:36'30.883"
"Japan","08/10/2000","Michael Schumacher","Ferrari","53","1:29'53.435"
"Malaysia","22/10/2000","Michael Schumacher","Ferrari","56","1:35'54.235"
