"Pos","Driver","Nationality","Team","Points"
"1","Lewis Hamilton","British","McLaren-Mercedes","98"
"2","Felipe Massa","Brazilian","Ferrari","97"
"3","Kimi Räikkönen","Finnish","Ferrari","75"
"4","Robert Kubica","Polish","BMW Sauber","75"
"5","Fernando Alonso","Spanish","Renault","61"
"6","Nick Heidfeld","German","BMW Sauber","60"
"7","Heikki Kovalainen","Finnish","McLaren-Mercedes","53"
"8","Sebastian Vettel","German","STR-Ferrari","35"
"9","Jarno Trulli","Italian","Toyota","31"
"10","Timo Glock","German","Toyota","25"
"11","Mark Webber","Australian","Red Bull-Renault","21"
"12","Nelsinho Piquet","Brazilian","Renault","19"
"13","Nico Rosberg","German","Williams-Toyota","17"
"14","Rubens Barrichello","Brazilian","Honda","11"
"15","Kazuki Nakajima","Japanese","Williams-Toyota","9"
"16","David Coulthard","British","Red Bull-Renault","8"
"17","Sebastien Bourdais","French","STR-Ferrari","4"
"18","Jenson Button","British","Honda","3"
"19","Giancarlo Fisichella","Italian","Force India-Ferrari","0"
"20","Adrian Sutil","German","Force India-Ferrari","0"
"21","Takuma Sato","Japanese","Super Aguri-Honda","0"
"22","Anthony Davidson","British","Super Aguri-Honda","0"
