"Pos","Driver","Nationality","Team","Points"
"1","Sebastian Vettel","German","RBR-Renault","256"
"2","Fernando Alonso","Spanish","Ferrari","252"
"3","Mark Webber","Australian","RBR-Renault","242"
"4","Lewis Hamilton","British","McLaren-Mercedes","240"
"5","Jenson Button","British","McLaren-Mercedes","214"
"6","Felipe Massa","Brazilian","Ferrari","144"
"7","Nico Rosberg","German","Mercedes GP","142"
"8","Robert Kubica","Polish","Renault","136"
"9","Michael Schumacher","German","Mercedes GP","72"
"10","Rubens Barrichello","Brazilian","Williams-Cosworth","47"
"11","Adrian Sutil","German","Force India-Mercedes","47"
"12","Kamui Kobayashi","Japanese","BMW Sauber-Ferrari","32"
"13","Vitaly Petrov","Russian","Renault","27"
"14","Nico Hulkenberg","German","Williams-Cosworth","22"
"15","Vitantonio Liuzzi","Italian","Force India-Mercedes","21"
"16","Sebastien Buemi","Swiss","STR-Ferrari","8"
"17","Pedro de la Rosa","Spanish","BMW Sauber-Ferrari","6"
"18","Nick Heidfeld","German","BMW Sauber-Ferrari","6"
"19","Jaime Alguersuari","Spanish","STR-Ferrari","5"
"20","Heikki Kovalainen","Finnish","Lotus-Cosworth","0"
"21","Jarno Trulli","Italian","Lotus-Cosworth","0"
"22","Karun Chandhok","Indian","HRT-Cosworth","0"
"23","Bruno Senna","Brazilian","HRT-Cosworth","0"
"24","Lucas di Grassi","Brazilian","Virgin-Cosworth","0"
"25","Timo Glock","German","Virgin-Cosworth","0"
"26","Sakon Yamamoto","Japanese","HRT-Cosworth","0"
"27","Christian Klien","Austrian","HRT-Cosworth","0"
