"Pos","Driver","Nationality","Team","Points"
"1","Sebastian Vettel","German","Red Bull Racing-Renault","392"
"2","Jenson Button","British","McLaren-Mercedes","270"
"3","Mark Webber","Australian","Red Bull Racing-Renault","258"
"4","Fernando Alonso","Spanish","Ferrari","257"
"5","Lewis Hamilton","British","McLaren-Mercedes","227"
"6","Felipe Massa","Brazilian","Ferrari","118"
"7","Nico Rosberg","German","Mercedes","89"
"8","Michael Schumacher","German","Mercedes","76"
"9","Adrian Sutil","German","Force India-Mercedes","42"
"10","Vitaly Petrov","Russian","Renault","37"
"11","Nick Heidfeld","German","Renault","34"
"12","Kamui Kobayashi","Japanese","Sauber-Ferrari","30"
"13","Paul di Resta","British","Force India-Mercedes","27"
"14","Jaime Alguersuari","Spanish","STR-Ferrari","26"
"15","Sebastien Buemi","Swiss","STR-Ferrari","15"
"16","Sergio Perez","Mexican","Sauber-Ferrari","14"
"17","Rubens Barrichello","Brazilian","Williams-Cosworth","4"
"18","Bruno Senna","Brazilian","Renault","2"
"19","Pastor Maldonado","Venezuelan","Williams-Cosworth","1"
"20","Pedro de la Rosa","Spanish","Sauber-Ferrari","0"
"21","Jarno Trulli","Italian","Lotus-Renault","0"
"22","Heikki Kovalainen","Finnish","Lotus-Renault","0"
"23","Vitantonio Liuzzi","Italian","HRT-Cosworth","0"
"24","Jerome D'Ambrosio","Belgian","Virgin-Cosworth","0"
"25","Timo Glock","German","Virgin-Cosworth","0"
"26","Narain Karthikeyan","Indian","HRT-Cosworth","0"
"27","Daniel Ricciardo","Australian","HRT-Cosworth","0"
"28","Karun Chandhok","Indian","Lotus-Renault","0"
