"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","18/03/2012","Jenson Button","McLaren-Mercedes","58","1:34:09.565"
"Malaysia","25/03/2012","Fernando Alonso","Ferrari","56","2:44:51.812"
"China","15/04/2012","Nico Rosberg","Mercedes","56","1:36:26.929"
"Bahrain","22/04/2012","Sebastian Vettel","Red Bull Racing-Renault","57","1:35:10.990"
"Spain","13/05/2012","Pastor Maldonado","Williams-Renault","66","1:39:09.145"
"Monaco","27/05/2012","Mark Webber","Red Bull Racing-Renault","78","1:46:06.557"
"Canada","10/06/2012","Lewis Hamilton","McLaren-Mercedes","70","1:32:29.586"
"Europe","24/06/2012","Fernando Alonso","Ferrari","57","1:44:16.649"
"Great Britain","08/07/2012","Mark Webber","Red Bull Racing-Renault","52","1:25:11.288"
"Germany","22/07/2012","Fernando Alonso","Ferrari","67","1:31:05.862"
"Hungary","29/07/2012","Lewis Hamilton","McLaren-Mercedes","69","1:41:05.503"
"Belgium","02/09/2012","Jenson Button","McLaren-Mercedes","44","1:29:08.530"
"Italy","09/09/2012","Lewis Hamilton","McLaren-Mercedes","53","1:19:41.221"
"Singapore","23/09/2012","Sebastian Vettel","Red Bull Racing-Renault","59","2:00:26.144"
"Japan","07/10/2012","Sebastian Vettel","Red Bull Racing-Renault","53","1:28:56.242"
"Korea","14/10/2012","Sebastian Vettel","Red Bull Racing-Renault","55","1:36:28.651"
"India","28/10/2012","Sebastian Vettel","Red Bull Racing-Renault","60","1:31:10.744"
"Abu Dhabi","04/11/2012","Kimi Räikkönen","Lotus-Renault","55","1:45:58.667"
"United States","18/11/2012","Lewis Hamilton","McLaren-Mercedes","56","1:35:55.269"
"Brazil","25/11/2012","Jenson Button","McLaren-Mercedes","71","1:45:22.656"
