"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Brazil","26/03/1989","Nigel Mansell","Ferrari","61","1:38'58.744"
"San Marino","23/04/1989","Ayrton Senna","McLaren- Honda","58","1:26'51.245"
"Monaco","07/05/1989","Ayrton Senna","McLaren- Honda","77","1:53'33.251"
"Mexico","28/05/1989","Ayrton Senna","McLaren- Honda","69","1:35'21.431"
"United States","04/06/1989","Alain Prost","McLaren- Honda","75","2:01'33.133"
"Canada","18/06/1989","Thierry Boutsen","Williams-Renault","69","2:01'24.073"
"France","09/07/1989","Alain Prost","McLaren- Honda","80","1:38'29.411"
"Great Britain","16/07/1989","Alain Prost","McLaren- Honda","64","1:19'22.131"
"Germany","30/07/1989","Ayrton Senna","McLaren- Honda","42","1:21'43.302"
"Hungary","13/08/1989","Nigel Mansell","Ferrari","77","1:49'38.650"
"Belgium","27/08/1989","Ayrton Senna","McLaren- Honda","44","1:40'54.196"
"Italy","10/09/1989","Alain Prost","McLaren- Honda","53","1:19'27.550"
"Portugal","24/09/1989","Gerhard Berger","Ferrari","71","1:36'48.546"
"Spain","01/10/1989","Ayrton Senna","McLaren- Honda","73","1:47'48.264"
"Japan","22/10/1989","Alessandro Nannini","Benetton-Ford","53","1:35'06.277"
"Australia","05/11/1989","Thierry Boutsen","Williams-Renault","70","2:00'17.421"
