"Pos","Driver","Nationality","Team","Points"
"1","Sebastian Vettel","German","Red Bull Racing-Renault","281"
"2","Fernando Alonso","Spanish","Ferrari","278"
"3","Kimi Räikkönen","Finnish","Lotus-Renault","207"
"4","Lewis Hamilton","British","McLaren-Mercedes","190"
"5","Jenson Button","British","McLaren-Mercedes","188"
"6","Mark Webber","Australian","Red Bull Racing-Renault","179"
"7","Felipe Massa","Brazilian","Ferrari","122"
"8","Romain Grosjean","French","Lotus-Renault","96"
"9","Nico Rosberg","German","Mercedes","93"
"10","Sergio Perez","Mexican","Sauber-Ferrari","66"
"11","Nico Hulkenberg","German","Force India-Mercedes","63"
"12","Kamui Kobayashi","Japanese","Sauber-Ferrari","60"
"13","Michael Schumacher","German","Mercedes","49"
"14","Paul di Resta","British","Force India-Mercedes","46"
"15","Pastor Maldonado","Venezuelan","Williams-Renault","45"
"16","Bruno Senna","Brazilian","Williams-Renault","31"
"17","Jean-Eric Vergne","French","STR-Ferrari","16"
"18","Daniel Ricciardo","Australian","STR-Ferrari","10"
"19","Vitaly Petrov","Russian","Caterham-Renault","0"
"20","Timo Glock","German","Marussia-Cosworth","0"
"21","Charles Pic","French","Marussia-Cosworth","0"
"22","Heikki Kovalainen","Finnish","Caterham-Renault","0"
"23","Jerome D'Ambrosio","Belgian","Lotus-Renault","0"
"24","Narain Karthikeyan","Indian","HRT-Cosworth","0"
"25","Pedro de la Rosa","Spanish","HRT-Cosworth","0"
