"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","08/03/1998","Mika Hakkinen","McLaren-Mercedes","58","1:31'45.996"
"Brazil","29/03/1998","Mika Hakkinen","McLaren-Mercedes","72","1:37'11.747"
"Argentina","12/04/1998","Michael Schumacher","Ferrari","72","1:48'36.175"
"San Marino","26/04/1998","David Coulthard","McLaren-Mercedes","62","1:34'24.593"
"Spain","10/05/1998","Mika Hakkinen","McLaren-Mercedes","65","1:33'37.621"
"Monaco","24/05/1998","Mika Hakkinen","McLaren-Mercedes","78","1:51'23.595"
"Canada","07/06/1998","Michael Schumacher","Ferrari","69","1:40'57.355"
"France","28/06/1998","Michael Schumacher","Ferrari","71","1:34'45.026"
"Great Britain","12/07/1998","Michael Schumacher","Ferrari","60","1:47'02.450"
"Austria","26/07/1998","Mika Hakkinen","McLaren-Mercedes","71","1:30'44.086"
"Germany","02/08/1998","Mika Hakkinen","McLaren-Mercedes","45","1:20'47.984"
"Hungary","16/08/1998","Michael Schumacher","Ferrari","77","1:45'25.550"
"Belgium","30/08/1998","Damon Hill","Jordan-Mugen-Honda","44","1:43'47.407"
"Italy","13/09/1998","Michael Schumacher","Ferrari","53","1:17'09.672"
"Luxembourg","27/09/1998","Mika Hakkinen","McLaren-Mercedes","67","1:32'14.789"
"Japan","01/11/1998","Mika Hakkinen","McLaren-Mercedes","51","1:27'22.535"
