"Pos","Driver","Nationality","Team","Points"
"1","Fernando Alonso","Spanish","Renault","133"
"2","Kimi Räikkönen","Finnish","McLaren-Mercedes","112"
"3","Michael Schumacher","German","Ferrari","62"
"4","Juan Pablo Montoya","Colombian","McLaren-Mercedes","60"
"5","Giancarlo Fisichella","Italian","Renault","58"
"6","Ralf Schumacher","German","Toyota","45"
"7","Jarno Trulli","Italian","Toyota","43"
"8","Rubens Barrichello","Brazilian","Ferrari","38"
"9","Jenson Button","British","BAR-Honda","37"
"10","Mark Webber","Australian","Williams-BMW","36"
"11","Nick Heidfeld","German","Williams-BMW","28"
"12","David Coulthard","British","RBR-Cosworth","24"
"13","Felipe Massa","Brazilian","Sauber-Petronas","11"
"14","Jacques Villeneuve","Canadian","Sauber-Petronas","9"
"15","Christian Klien","Austrian","RBR-Cosworth","9"
"16","Tiago Monteiro","Portuguese","Jordan-Toyota","7"
"17","Alexander Wurz","Austrian","McLaren-Mercedes","6"
"18","Narain Karthikeyan","Indian","Jordan-Toyota","5"
"19","Christijan Albers","Dutch","Minardi-Cosworth","4"
"20","Pedro de la Rosa","Spanish","McLaren-Mercedes","4"
"21","Patrick Friesacher","Austrian","Minardi-Cosworth","3"
"22","Antonio Pizzonia","Brazilian","Williams-BMW","2"
"23","Takuma Sato","Japanese","BAR-Honda","1"
"24","Vitantonio Liuzzi","Italian","RBR-Cosworth","1"
"25","Robert Doornbos","Dutch","Minardi-Cosworth","0"
"26","Ricardo Zonta","Brazillian","Toyota","0"
"27","Anthony Davidson","British","BAR-Honda","0"
