"Grand Prix","Date","Winning Driver","Team","Laps","Time"
"Australia","10/03/1996","Damon Hill","Williams-Renault","58","1:32'50.491"
"Brazil","31/03/1996","Damon Hill","Williams-Renault","71","1:49'52.976"
"Argentina","07/04/1996","Damon Hill","Williams-Renault","72","1:54'55.322"
"Europe","28/04/1996","Jacques Villeneuve","Williams-Renault","67","1:33'26.473"
"San Marino","05/05/1996","Damon Hill","Williams-Renault","63","1:35'26.156"
"Monaco","19/05/1996","Olivier Panis","Ligier-Mugen-Honda","75","2:00'45.629"
"Spain","02/06/1996","Michael Schumacher","Ferrari","65","1:59'49.307"
"Canada","16/06/1996","Damon Hill","Williams-Renault","69","1:36'03.465"
"France","30/06/1996","Damon Hill","Williams-Renault","72","1:36'28.795"
"Great Britain","14/07/1996","Jacques Villeneuve","Williams-Renault","61","1:33'00.874"
"Germany","28/07/1996","Damon Hill","Williams-Renault","45","1:21'43.417"
"Hungary","11/08/1996","Jacques Villeneuve","Williams-Renault","77","1:46'21.134"
"Belgium","25/08/1996","Michael Schumacher","Ferrari","44","1:28'15.125"
"Italy","08/09/1996","Michael Schumacher","Ferrari","53","1:17'43.632"
"Portugal","22/09/1996","Jacques Villeneuve","Williams-Renault","70","1:40'22.915"
"Japan","13/10/1996","Damon Hill","Williams-Renault","52","1:32'33.791"
